Aabye	奥比
Ackman	阿克曼
Ackmann	阿克曼
Ackner	阿克纳
Ackoff	阿科夫
Ackroyd	阿克罗伊德
Ackstein	阿克斯坦
Acland	阿克兰
Acly	阿克利
Acoca	阿科卡
Acomb	埃克姆
Acosta	阿科斯塔
Acott	埃科特
Acourt	埃科特
Acraman	阿克拉曼
Acree	阿克里
Acres	阿克斯
Acret	阿克雷特
Action	埃克申
Acton	阿克顿
Actto	阿克托
Acuff	阿卡夫
Acuna	阿库纳
Acur	阿库尔
Acworth	阿克沃思
Aczel	奥采尔
Ada	埃达
Ada	埃达
Adah	埃达
Adair	阿代尔
Adalbert	阿德尔伯特
Adamec	阿达梅茨
Adami	阿达米
Adamic	阿达米克
Adamina	阿达米娜
Adamkus	阿达姆库斯
Adamnan	阿达姆南
Adams	亚当斯
Adamson	亚当森
Adamstone	亚当斯通
Adamthwaite	亚当思韦特
Adamy	阿达米
Adan	阿丹
Adank	阿丹克
Adanti	阿丹蒂
Adare	阿代尔
Adaskin	阿达斯金
Adato	阿达托
Adburgham	阿德伯姆
Adcock	阿德科克
Addabbo	阿达博
Addams	亚当斯
Adde	阿德
Adden	阿登
Addeo	阿德奥
Adderley	阿德利
Addicks	阿迪克斯
Addicott	阿迪科特
Addie	阿迪
Addiel	阿迪尔
Addington	阿丁顿
Addinsell	阿丁塞尔
Addis	阿迪斯
Addison	艾迪生
Addiss	阿迪斯
Additon	阿迪顿
Addleshaw	阿德尔肖
Addleson	阿德尔森
Addley	阿德利
Addonizio	阿多尼西奥
Adduci	阿杜奇
Addums	阿达姆斯
Addy	阿迪
Addy	阿迪
Ade	埃德
Adeane	阿迪恩
Adee	埃迪
Adekin	阿德金
Adel	阿德尔
Adela	阿德拉
Adelard	阿德拉德
Adelbert	阿德尔伯特
Adele	阿黛尔
Adelena	阿德利娜
Adeli	阿德利
Adelid	阿德莉德
Adelin	阿德琳
Adelina	阿德利娜
Adeline	阿德琳
Adelizzi	阿德利齐
Adell	阿德尔
Adelle	阿德尔
Adelman	阿德尔曼
Adelmann	阿德尔曼
Adels	阿德尔斯
Adelstein	阿德尔斯坦
Adeluin	阿德尔温
Adelulf	阿道夫
Adelwin	阿德尔温
Adelwlf	阿道夫
Ademola	阿德莫拉
Adeney	阿德尼
Adeniken	阿德尼肯
Ader	阿德
Aderhold	阿德霍尔德
Aderlard	阿德拉德
Aderton	阿德顿
Ades	埃兹
Adesko	阿德斯科
Adesnik	阿德斯尼克
Adey	阿迪
Adeyfield	阿迪菲尔德
Adger	阿杰
Adgie	阿吉
Adicoff	阿迪科夫
Adie	阿迪
Adik	阿迪克
Adikes	阿代克斯
Adin	埃丁
Adinet	阿迪尼特
Adisman	阿迪斯曼
Aditya	阿迪蒂亚
Adkerson	阿克森
Adkin	阿德金
Adkins	阿德金斯
Adkinson	阿德金森
Adkisson	阿基森
Adlai	阿德莱
Adlam	阿德拉姆
Adlard	阿德拉德
Adleman	阿德尔曼
Adler	阿德勒
Adlerblum	阿德勒布卢姆
Adlercron	阿德勒克朗
Adley	阿德利
Adlin	阿德林
Adlmann	阿德尔曼
Adlum	阿德勒姆
Admi	阿德米
Adna	阿德纳
Adney	埃德尼
Adnum	阿德纳姆
Ado	阿多
Adocox	阿多科克斯
Adolfo	阿道夫
Adolfson	阿道夫森
Adolph	阿道夫
Adonijah	阿多奈贾
Adoniram	阿多奈拉姆
Adonis	阿多尼斯
Adoo	阿杜
Adorjan	阿多詹
Adoue	阿杜
Adren	阿德伦
Adreon	阿德雷翁
Adri	阿德里
Adriance	阿德里安斯
Adriani	阿德里亚尼
Adrianna	阿德里安娜
Adrianne	阿德里安娜
Adrien	阿德里安
Adrienne	阿德里安娜
Adshead	阿谢德
Adubato	阿杜巴托
Advas	阿德瓦斯
Adwick	阿迪克
Ady	埃迪
Adye	埃迪
Adzir	阿齐尔
Aebersold	埃伯索尔德
Aeck	埃克
Aedde	埃迪
Aegerter	埃格特尔
Aegidius	埃吉迪厄斯
Aein	埃因
Aelfheah	艾尔夫赫亚
Aelfred	艾尔弗雷德
Aelfric	阿尔弗里克
Aelmar	艾尔默
Aelmer	艾尔默
Aelred	埃尔雷德
Aeluuin	艾尔温
Aeluuine	艾尔温
Aeneas	埃尼亚斯
Aengus	安格斯
Aeppel	艾佩尔
Aernum	埃努姆
Aeschbacher	埃希巴赫
Aethelheard	艾特尔赫德
Aethelred	艾塞雷德
Afee	埃菲
Afergood	阿弗古德
Affeld	阿费尔德
Affelder	阿费尔德
Affeldt	阿费尔特
Afferica	阿费里卡
Affleck	阿弗莱克
Afford	阿福德
Affourtit	阿富尔蒂特
Affront	阿弗龙特
Affronti	阿弗龙蒂
Afield	阿菲尔德
Afifi	阿菲菲
Africanus	阿弗里卡纳斯
Africk	阿弗里克
Afridi	阿弗里迪
Aft	阿夫特
Afton	阿夫顿
Agabian	阿加比安
Agacia	阿加西娅
Again	阿盖恩
Agan	阿甘
Agapida	阿加皮达
Agar	阿加
Agard	阿加德
Agarwal	阿加瓦尔
Agas	阿加丝
Agase	阿加丝
Agassiz	阿加西斯
Agate	阿加特
Agatha	阿加莎
Agathie	阿加茜
Agazzi	阿加齐
Agbabian	阿格巴比安
Agee	阿吉
Agenbright	阿金布赖特
Agenti	阿金蒂
Ager	阿格
Agersborg	阿格斯堡
Agerwala	阿格瓦拉
Agesta	阿杰斯塔
Ageton	阿吉顿
Agey	阿吉
Aggar	阿加尔
Aggarwal	阿加沃尔
Aggas	阿加斯
Aggeler	阿格勒
Agger	阿格
Aggi	阿吉
Aggie	阿姬
Aggrey	阿格雷
Aggy	阿姬
Aghiorgoussis	阿吉奥古西斯
Agins	阿金斯
Agis	阿吉斯
Agisim	阿吉西姆
Agius	阿吉厄斯
Aglaia	阿格拉娅
Aglen	阿格伦
Aglialoro	阿利亚洛罗
Aglionby	阿格利昂比
Agne	阿格尼
Agnello	阿涅洛
Agnellus	阿格内勒斯
Agnes	阿格尼丝
Agneta	阿格妮塔
Agnew	阿格纽
Agnich	阿格尼奇
Agno	阿尼奥
Agnos	阿格诺斯
Agnus	阿格纳斯
Ago	阿戈
Agogino	阿戈吉诺
Agosin	阿戈辛
Agosta	阿戈斯塔
Agrait	阿格赖特
Agranoff	阿格拉诺夫
Agras	阿格拉斯
Agrawal	阿格拉沃尔
Agray	阿格雷
Agre	阿格雷
Agres	阿格雷斯
Agrest	阿格雷斯特
Agresto	阿格雷斯托
Agricola	阿格里科拉
Agrippa	阿格里帕
Agrippina	阿格里皮娜
Agron	阿格龙
Agronick	阿格罗尼克
Agry	阿格里
Aguayo	阿瓜约
Ague	埃格
Aguilar	阿圭勒
Aguirre	阿吉雷
Agus	阿古斯
Agusta	阿古斯塔
Agutter	阿格特
Agwu	阿古
Agwunobi	阿古诺比
Agy	阿吉
Ahalt	阿霍尔特
Ahart	阿哈特
Ahearn	埃亨
Ahearne	阿亨
Ahern	埃亨
Aherne	埃亨
Aheron	阿赫伦
Ahier	阿耶
Ahl	阿尔
Ahlberg	阿尔伯格
Ahlbrandt	阿尔布兰特
Ahlem	阿勒姆
Ahlen	阿伦
Ahlers	阿勒斯
Ahlert	阿勒特
Ahlfors	阿尔福斯
Ahlgren	阿尔格伦
Ahlport	阿尔波特
Ahlquist	阿尔奎斯特
Ahlschier	阿尔希尔
Ahlschwede	阿尔施韦德
Ahmann	阿曼
Ahmanson	阿曼森
Ahnee	阿尼
Ahnighito	阿尼吉托
Ahntholz	安索尔兹
Aho	阿霍
Ahr	阿尔
Ahrendt	阿伦特
Ahrenholtz	阿伦霍尔茨
Ahrens	阿伦斯
Ahrensfeld	阿伦斯菲尔德
Ahrnsbrak	阿恩斯布拉克
Ahrold	阿罗尔德
Ahroon	阿鲁恩
Aid	艾德
Aida	艾达
Aidan	艾丹
Aiden	艾登
Aidenoff	艾德诺夫
Aidinoff	艾迪诺夫
Aidman	艾德曼
Aiello	艾洛
Aiglente	艾格伦特
Aiglentine	艾格伦坦
Aigler	艾格勒
Aigner	艾格纳
Aiken	艾肯
Aikens	艾肯斯
Aikin	艾金
Aikins	艾金斯
Aikman	艾克曼
Aileen	艾琳
Ailemar	艾尔默
Ailes	艾尔斯
Ailesbury	艾尔斯伯里
Aileve	艾莉芙
Ailey	艾利
Ailice	艾利斯
Ailid	艾丽德
Ailie	艾丽
Ailiet	艾丽特
Ailith	艾丽斯
Ailloni	艾洛尼
Ailmar	艾尔默
Ailmer	艾尔默
Ailsa	艾尔萨
Ailshie	艾尔希
Ailuin	艾尔温
Ailwin	艾尔温
Ailwyn	艾尔温
Aime	艾梅
Aimee	艾梅
Ain	艾恩
Aine	安妮
Aines	安斯
Ainger	安杰
Ainley	安利
Ainmiller	艾因米勒
Ainscough	安斯克夫
Ainslie	安斯利
Ainsworth	安斯沃思
Aird	艾尔德
Airedale	艾尔代尔
Aires	艾雷斯
Airey	艾雷
Airhart	艾尔哈特
Airington	艾林顿
Airlie	艾尔利
Airs	艾尔斯
Airth	艾尔思
Airwick	艾尔威克
Airy	艾里
Aisenberg	艾森伯格
Aisenbery	艾森伯里
Aish	艾什
Aisha	艾莎
Aisher	艾舍
Aishton	艾什顿
Aisley	艾斯利
Aisling	艾斯琳
Aisner	艾斯纳
Aissen	艾森
Aistrop	艾斯特罗普
Aitay	艾泰
Aitcheson	艾奇逊
Aitchison	艾奇逊
Aithne	安妮
Aitken	艾特肯
Aitkenhead	艾肯黑德
Aitkin	艾特金
Aiton	艾顿
Aitre	艾特尔
Aiuto	阿尤托
Aiuvalasit	阿尤瓦拉西特
Aiyana	艾亚娜
Aiyar	艾亚尔
Ajax	埃贾克斯
Ajay	阿杰伊
Ajemian	阿杰米恩
Akaka	阿卡卡
Akalovsky	阿卡洛夫斯基
Aked	埃克德
Akehurst	阿克赫斯特
Akeley	埃克利
Akenhead	埃肯黑德
Akenside	埃肯赛德
Akenson	埃肯森
Aker	阿克
Akerley	阿克利
Akerlof	阿克洛夫
Akerman	阿克曼
Akers	埃克斯
Akerson	埃克森
Akery	埃克里
Akesson	阿克松
Akey	阿基
Akhurst	阿克赫斯特
Akin	埃金
Akins	埃金斯
Akira	阿基拉
Akister	阿基斯特
Aklonis	阿克洛尼斯
Akoka	阿科卡
Akolt	埃科尔特
Akos	阿科什
Akroyd	阿克罗伊德
Aksen	阿克森
Akst	阿克斯特
Akylor	阿基勒
Al	阿尔
Ala	阿拉
Alaback	阿拉巴克
Alabaster	阿拉巴斯特
Alagappa	阿拉加帕
Alaimo	阿莱莫
Alain	阿兰
Alaina	阿莱娜
Alala	阿拉拉
Alam	阿拉姆
Alan	艾伦
Alana	阿兰娜
Alanbrooke	阿兰布鲁克
Alane	阿兰
Alanna	阿兰娜
Alanson	阿兰森
Alarcon	阿拉孔
Alard	阿拉德
Alarie	阿拉里
Alasager	奥拉萨杰
Alasdair	阿拉斯代尔
Alastair	阿拉斯泰尔
Alatis	阿拉蒂斯
Alayna	阿莱娜
Albacete	阿尔巴塞特
Albach	阿尔巴赫
Alban	奥尔本
Albanenses	阿尔伯嫩西斯
Albanese	阿尔巴内塞
Albans	奥尔本斯
Albany	奥尔巴尼
Albares	阿尔巴雷斯
Albaugh	阿尔博
Albeck	阿尔贝克
Albee	阿尔比
Albemarle	阿尔比马尔
Alben	阿尔本
Albenda	阿尔本达
Alber	阿伯
Alberbury	奥尔伯伯里
Alberding	阿伯丁
Alberg	阿尔伯格
Alberger	阿尔伯格
Alberi	奥伯里
Alberic	阿尔伯里克
Alberici	阿尔贝里西
Albers	阿伯斯
Albersheim	阿伯斯海姆
Albert	艾伯特
Alberta	艾伯塔
Albertazzie	艾伯塔齐
Alberthal	艾伯索尔
Alberti	艾伯蒂
Albertina	艾伯蒂娜
Albertine	艾伯丁
Alberts	艾伯茨
Albertson	艾伯森
Albertsworth	艾伯茨沃思
Albertus	艾伯塔斯
Alberty	艾伯蒂
Albertz	艾伯茨
Albery	奥伯里
Albey	阿尔比
Albig	阿尔比格
Albiges	阿尔比热
Albin	阿尔宾
Albino	阿尔比诺
Albinson	阿尔宾森
Albion	阿尔比恩
Alboin	阿尔博因
Albon	阿尔本
Albosta	阿尔博斯塔
Albourne	奥尔伯恩
Albrand	阿尔布兰德
Albray	奥布雷
Albrecht	阿尔布雷克特
Albree	奥尔布里
Albright	奥尔布赖特
Albriton	奥尔布里顿
Albrittain	奥尔布里顿
Albritton	奥尔布里顿
Albro	奥尔布罗
Albu	阿尔布
Albury	奥伯里
Albutt	奥尔伯特
Albyn	阿尔宾
Alcala	阿尔卡拉
Alcalde	阿尔卡德
Alcan	阿尔坎
Alcantara	阿尔坎塔拉
Alcaraz	阿尔卡拉斯
Alce	奥尔斯
Alcester	奥尔斯特
Alch	阿尔奇
Alchian	阿尔奇安
Alchin	阿尔钦
Alchon	奥尔康
Alciatore	阿尔恰托雷
Alciphron	阿尔西弗龙
Alcock	阿尔科克
Alconbury	奥尔康伯里
Alcorn	奥尔康
Alcorta	阿尔科塔
Alcott	奥尔科特
Alcuin	阿尔昆
Aldan	奥尔登
Aldave	阿尔达韦
Alday	阿尔迪
Aldea	阿尔迪亚
Aldeburgh	奥尔德伯勒
Aldeguer	奥尔迪格
Alden	奥尔登
Aldenham	奥尔德纳姆
Alder	奥尔德
Alderfer	奥尔德弗
Alderman	奥尔德曼
Alders	奥尔德斯
Aldersey	奥尔德西
Alderson	奥尔德森
Alderton	奥尔德顿
Aldeyn	奥代因
Aldham	奥尔德姆
Aldhelm	奥尔德赫姆
Aldhizer	奥尔迪泽
Aldin	奥尔丁
Aldinger	奥尔丁杰
Aldington	奥尔丁顿
Aldis	奥尔迪斯
Aldisert	奥尔迪泽特
Aldiss	奥尔迪斯
Aldith	奥尔迪丝
Alditha	奥尔迪莎
Aldo	奥尔多
Aldonas	奥尔多纳斯
Aldous	奥尔德斯
Aldred	奥尔德雷德
Aldredge	奥尔德雷奇
Aldrich	奥尔德里奇
Aldridge	奥尔德里奇
Aldrin	奥尔德林
Aldro	阿德罗
Aldrston	奥尔德斯顿
Alduin	奥德温
Aldun	奥敦
Aldus	奥尔德斯
Aldwin	阿尔德温
Aldworth	奥德沃思
Aldwyn	阿尔德温
Aldyne	奥丁
Aleanor	埃莉诺
Aleck	亚历克
Aled	阿利德
Alegi	阿莱吉
Aleichem	阿莱赫姆
Alejandro	亚历杭德罗
Alejo	阿莱霍
Alejos	阿莱霍斯
Aleke	阿利克
Alekman	阿莱克曼
Aleksich	阿列克西奇
Alene	艾琳
Aleo	阿莱奥
Alered	阿利雷德
Alers	阿勒斯
Alesaunder	亚历山大
Aleshire	阿利希尔
Alesia	阿莱西亚
Alessandroni	亚历山德罗尼
Alester	阿莱斯特
Aletea	阿尔蒂亚
Aletha	阿莱莎
Alethia	阿莱西娅
Alevey	阿利维
Alewine	阿莱温
Alewyn	阿莱温
Alexanderson	亚历山德森
Alexandria	亚历山德里娅
Alexanian	亚历克萨尼安
Alexbank	亚历克斯班克
Alexeff	亚历克谢夫
Alexi	亚历克西
Alexia	亚历克西娅
Alexiou	亚历克西乌
Alexisson	亚历克西森
Alexius	亚历克修斯
Alexopoulos	亚历克索普洛斯
Alexsovich	亚历克索维奇
Alexus	亚历克苏丝
Alexy	亚历克西
Alexys	亚历克西丝
Aley	阿利
Aleyn	阿林
Alfange	阿尔芬奇
Alfano	阿尔法诺
Alfers	阿尔弗斯
Alfidi	阿尔菲迪
Alfie	阿尔菲
Alfieri	阿尔菲里
Alfiero	阿尔菲罗
Alfin	阿尔芬
Alfled	阿尔夫莉德
Alfleda	阿尔夫莉达
Alflet	阿尔夫莉特
Alfonse	阿方斯
Alfonso	阿方索
Alford	奥尔福德
Alfred	艾尔弗雷德
Alfreda	阿尔弗里达
Alfreton	奥尔弗里顿
Alfrid	阿尔弗里德
Alfriend	阿尔弗林德
Alfriston	奥尔弗里斯顿
Alfultis	阿尔富蒂斯
Alfven	阿尔文
Alfy	阿尔菲
Algar	阿尔格
Algase	阿尔加斯
Alger	阿尔杰
Algern	阿尔杰恩
Algernon	阿尔杰农
Algie	阿尔吉
Algieri	阿尔吉里
Algoma	阿尔戈马
Algor	阿尔戈
Algy	阿尔吉
Alhadeff	阿尔哈德夫
Ali	阿里
Aliaby	阿利亚比
Aliam	阿利亚姆
Alianora	埃莉亚诺拉
Aliber	阿利伯
Alibrando	阿利布兰多
Alice	艾丽斯
Alicen	艾莉森
Alicia	艾丽西亚
Alick	阿利克
Alienor	埃莉诺
Alienora	埃莉诺拉
Alik	亚历克
Alina	阿林娜
Alinder	阿林德
Aline	艾琳
Aling	阿林
Alington	阿林顿
Alinsky	阿林斯基
Alioto	阿利奥托
Alisa	阿莉莎
Alisandre	亚历山大
Alisaunder	亚历山大
Alisceon	艾莉森
Alisha	阿莉莎
Alissa	阿莉莎
Alistair	阿利斯泰尔
Alister	阿利斯特
Alithia	阿莱西娅
Alito	阿利托
Alivia	阿利维娅
Alivin	阿利文
Alix	阿利克斯
Alixe	阿利克斯
Aliya	阿莉娅
Aliyah	阿莉娅
Alkadivi	阿尔卡迪维
Alker	阿尔克
Alkin	阿尔金
Alkire	阿尔基尔
Alkon	阿尔康
All	奥尔
Allaben	阿拉本
Allain	阿兰
Allaire	阿莱尔
Allaker	奥拉克
Allam	奥勒姆
Allamong	阿拉芒
Allan	艾伦
Allance	阿伦斯
Allansmith	阿兰史密斯
Allanson	阿兰森
Allard	阿拉德
Allardice	阿勒代斯
Allardyce	阿勒代斯
Allason	阿拉森
Allat	阿勒特
Allathea	阿莱西娅
Allaun	阿朗
Allaway	阿拉韦
Allbaugh	阿尔博
Allbeck	奥尔贝克
Allbright	奥尔布赖特
Allbritton	奥尔布里顿
Allbutt	奥尔伯特
Allchin	奥尔欣
Allcroft	奥尔克罗夫特
Allcut	奥尔克特
Alldredge	奥尔德雷奇
Alldridge	奥尔德里奇
Allee	阿利
Allegany	阿利盖尼
Alleghany	阿利盖尼
Allegheny	阿利盖尼
Allegra	阿利格拉
Allegrucci	阿莱格鲁奇
Alleine	阿林
Allemang	阿利芒
Allemano	阿利马诺
Allen	艾伦
Allenby	艾伦比
Allendale	艾伦代尔
Allendar	艾伦达
Allendoerfer	艾伦多弗
Aller	阿勒
Allergan	阿勒根
Allers	阿勒斯
Allerton	阿勒顿
Allerup	奥尔勒普
Alles	奥尔斯
Allesley	奥尔斯利
Allestree	阿莱斯特里
Allewaert	阿利韦特
Alley	阿利
Alleyn	阿莱恩
Alleyne	阿莱恩
Alleynian	阿莱尼安
Allez	阿莱
Allfrey	奥尔弗里
Allgaier	奥尔盖耶
Allgeier	奥尔盖耶
Allgood	奥尔古德
Allgyer	奥尔盖尔
Allhusen	阿尔休森
Alli	阿利
Allibon	阿利本
Allibone	阿利本
Allies	阿莱斯
Allifree	阿利弗里
Allighan	阿利根
Alligood	阿利古德
Allik	阿利克
Allin	阿林
Alling	阿林
Allinger	阿林格
Allingham	阿林厄姆
Allinson	阿林森
Allio	阿利奥
Alliott	阿利奥特
Allis	阿利斯
Allister	阿利斯特
Alliston	阿利斯顿
Allitt	阿利特
Allman	奥尔曼
Allmand	奥尔曼德
Allmendinger	奥尔门丁格
Allmin	奥尔明
Allner	奥尔纳
Allnutt	奥尔纳特
Allo	阿洛
Allock	阿洛克
Alloggiamento	阿洛贾门托
Allon	阿隆
Allot	阿洛特
Allott	阿洛特
Allouez	阿卢埃
Alloy	阿洛伊
Allport	奥尔波特
Allred	奥尔雷德
Allridge	奥尔里奇
Allsebrook	奥尔斯布鲁克
Allshouse	奥尔斯豪斯
Allsman	奥尔斯曼
Allson	奥尔森
Allsop	奥尔索普
Allsopp	奥尔索普
Allston	奥尔斯顿
Allswang	奥尔斯旺
Allt	奥尔特
Allum	阿勒姆
Allvine	奥尔文
Allwood	奥尔伍德
Allworthy	奥尔沃西
Allwright	奥尔赖特
Ally	艾丽
Allyn	阿林
Allyssa	阿莉莎
Alm	阿尔姆
Almack	奥尔马克
Almacy	阿尔马西
Almaguer	阿尔马格
Alman	奥尔曼
Almand	奥尔曼德
Almanza	阿尔曼扎
Almarin	阿尔马林
Almasi	阿尔马西
Almeida	阿尔梅达
Almeley	阿姆利
Almen	阿尔门
Almendros	阿尔门德罗斯
Almer	阿尔默
Almerin	阿尔默林
Almers	阿尔默斯
Almey	阿尔米
Almgren	阿尔姆格伦
Almira	阿尔迈拉
Almon	阿尔蒙
Almond	阿尔蒙德
Almony	阿尔莫尼
Almquist	阿尔姆奎斯特
Almroth	阿尔姆罗思
Almualla	奥尔穆瓦拉
Almus	阿尔穆斯
Almy	阿尔米
Alnes	阿尔尼斯
Alness	阿尔尼斯
Alnwick	阿尼克
Aloff	阿洛夫
Alois	阿洛伊斯
Aloisius	阿洛伊修斯
Alondra	阿朗德拉
Alonso	阿朗索
Alonzo	阿朗佐
Alost	阿洛斯特
Aloys	阿洛伊斯
Alpass	阿尔帕斯
Alpen	阿尔彭
Alper	阿尔珀
Alperin	阿尔珀林
Alpern	阿尔珀恩
Alperovitz	阿尔佩罗维茨
Alpers	阿尔珀斯
Alpert	阿尔珀特
Alpha	阿尔法
Alphaeus	阿尔菲厄斯
Alphand	阿尔方
Alphege	阿尔菲奇
Alpher	阿尔弗
Alpheus	阿尔菲厄斯
Alphonsa	阿方萨
Alphonse	阿方斯
Alphonsus	阿方萨斯
Alphonzo	阿方索
Alpin	阿尔平
Alpina	阿尔皮纳
Alport	奥尔波特
Alprovitz	阿尔普罗维茨
Alps	阿尔普斯
Alred	阿尔里德
Alredus	阿尔雷德斯
Alresford	奥尔斯福德
Alrewas	奥勒斯
Alsberg	阿尔斯伯格
Alsbury	阿尔斯伯里
Alsdorf	阿尔斯多夫
Alsever	阿尔塞弗
Alsip	阿尔西普
Alsobrook	奥索布鲁克
Alsop	艾尔索普
Alspach	阿尔斯波
Alspaugh	阿尔斯波
Alstadt	阿尔斯塔特
Alstead	阿尔斯特德
Alston	奥尔斯顿
Alsup	阿尔苏普
Alt	阿尔特
Altabe	阿尔塔贝
Altaffer	阿尔塔弗
Altamont	阿尔塔芒
Altan	阿尔坦
Altekruse	阿尔特克鲁斯
Altemeier	阿尔特迈耶
Alten	阿尔滕
Altenau	阿尔特诺
Altenbernd	阿尔滕本德
Alter	奥尔特
Alterman	奥尔特曼
Altermann	奥尔特曼
Altermatt	奥尔特马特
Altgeld	奥尔特盖尔德
Altham	奥尔瑟姆
Althaus	奥尔索斯
Althaver	奥尔撒弗
Althea	奥尔西娅
Altheimer	奥尔特海默
Alther	奥尔瑟
Altherton	奥尔瑟顿
Althoff	奥尔索夫
